"","state","age","cit","sex","educ","race","hisp","pwsswgt"
"44481",17,76,1,2,2,4,2,5171.4166
"44482",17,43,1,2,4,1,1,4124.3194
"44483",17,23,1,1,4,1,1,3988.5204
"44484",17,20,1,1,3,1,1,3988.5204
"44485",17,57,1,2,6,1,2,4608.9841
"44486",17,58,1,1,2,1,2,4118.6927
"44487",17,23,1,2,5,1,2,4578.566
"44488",37,19,1,1,3,1,2,4498.0724
"44489",37,27,1,1,4,1,2,4048.1792
"44490",37,23,1,1,3,1,2,5098.5034
"44491",47,30,1,2,2,2,2,4308.3738
"44492",55,72,1,2,3,1,2,3670.7468
"44493",55,76,1,1,5,1,2,2962.0939
"44494",55,70,1,1,5,1,2,4193.1035
"44495",55,71,1,2,5,1,2,3798.0184
"44496",25,63,1,2,5,1,2,2635.0015
"44497",5,85,1,2,2,1,2,1390.6284
"44498",5,53,1,1,3,1,2,0
"44499",5,51,1,2,2,1,2,1493.5125
"44500",17,27,1,1,5,1,1,3688.1264
"44501",17,26,1,1,5,1,1,3688.1264
"44502",17,28,1,2,4,1,2,4609.9155
"44503",17,49,1,2,2,1,2,5001.8138
"44504",17,45,1,1,3,1,2,4682.0214
"44505",17,23,1,2,1,1,2,4861.074
"44506",17,26,1,1,6,1,2,4028.4715
"44507",17,66,1,2,2,1,2,3586.6756
"44508",17,53,1,1,2,1,2,4103.4658
"44509",17,25,1,2,3,1,2,4220.7278
"44510",37,58,1,2,5,1,2,3334.6145
"44511",37,59,1,1,2,1,2,4139.3444
"44512",36,66,1,2,3,1,2,4950.7932
"44513",36,49,1,1,6,1,2,3957.0673
"44514",36,52,1,2,6,1,2,3728.4771
"44515",26,59,1,1,8,1,2,5150.4616
"44516",26,25,1,2,5,1,2,4008.4832
"44517",26,26,1,1,8,1,2,4834.0283
"44518",36,78,1,1,3,1,2,3707.3934
"44519",36,78,1,2,2,1,2,3480.3496
"44520",37,70,1,2,2,1,2,2868.4926
"44521",37,48,1,1,2,2,2,9621.4878
"44522",17,22,1,2,2,1,1,4102.8671
"44523",17,20,1,1,2,1,1,3287.7942
"44524",17,42,1,2,6,2,2,9108.5939
"44525",17,52,1,1,2,2,2,5168.1484
"44526",17,57,1,1,3,2,2,5388.3095
"44527",37,73,1,1,4,1,2,3614.228
"44528",37,79,1,1,3,1,2,3331.0604
"44529",37,70,1,1,4,1,2,3247.3818
"44530",37,67,1,2,3,1,2,3707.4866
"44531",17,29,4,1,6,4,2,4246.2752
"44532",17,54,1,2,6,1,2,5190.696
"44533",17,51,1,2,1,2,2,5446.8461
"44534",17,21,1,1,2,2,2,8349.7166
"44535",17,23,1,1,5,4,2,3687.201
"44536",17,75,1,2,3,1,2,3833.4081
"44537",17,43,1,2,6,1,2,4426.606
"44538",17,68,1,2,5,2,2,4375.3138
"44539",17,32,1,1,6,4,2,3550.072
"44540",17,29,4,2,5,4,2,3908.5504
"44541",17,23,1,1,5,1,1,5155.127
"44542",17,50,1,2,7,1,2,4205.0909
"44543",17,21,1,1,2,1,1,5155.127
"44544",37,31,1,1,3,2,2,6890.088
"44545",48,44,4,1,2,1,2,5215.3718
"44546",48,49,4,2,2,1,2,4437.0696
"44547",8,26,1,2,5,1,2,6658.2213
"44548",8,30,1,2,2,1,2,6257.5456
"44549",8,25,1,1,2,1,2,8266.2167
"44550",8,37,1,2,2,1,2,4224.3962
"44551",48,56,1,2,1,1,1,3782.3944
"44552",48,61,1,1,1,1,1,4434.4664
"44553",28,69,1,2,4,1,2,1195.8324
"44554",28,72,1,1,4,1,2,1106.8546
"44555",17,43,1,2,3,1,2,4426.606
"44556",17,48,1,2,5,1,2,5885.2139
"44557",17,30,1,1,2,1,2,4158.685
"44558",17,62,1,2,6,2,2,5210.518
"44559",29,31,1,2,1,1,2,4305.8679
"44560",29,41,1,1,2,1,2,3224.5534
"44561",29,21,1,2,2,1,2,4367.5641
"44562",29,19,1,1,2,1,2,3452.6326
"44563",9,66,1,1,5,1,2,2424.3002
"44564",9,66,1,2,5,1,2,2343.0925
"44565",9,31,1,1,5,1,2,3721.7975
"44566",9,67,1,2,5,1,2,2784.4281
"44567",9,67,1,1,5,1,2,2791.3921
"44568",33,85,1,2,2,1,2,893.1144
"44569",33,80,1,1,2,1,2,818.8577
"44570",33,61,1,1,4,1,2,950.0207
"44571",55,45,1,2,2,1,2,5032.9865
"44572",55,43,1,2,2,1,2,3385.6879
"44573",55,20,1,1,2,1,2,4027.2847
"44574",18,61,1,1,3,1,2,4425.1613
"44575",18,44,4,2,5,1,1,5627.7218
"44576",18,18,1,1,2,1,1,3733.1786
"44577",8,80,1,1,6,1,2,3609.461
"44578",8,80,1,2,2,1,2,3824.4728
"44579",47,80,1,1,1,1,2,2342.307
"44580",47,77,1,2,1,1,2,2378.9659
"44581",8,73,1,1,2,1,2,4162.1189
"44582",8,71,1,2,4,1,2,3668.0234
"44583",12,55,1,2,6,1,2,4533.7522
"44584",12,56,1,1,5,1,2,4560.4866
"44585",12,24,1,1,5,1,2,5749.7028
"44586",12,22,1,1,4,1,2,5749.7028
"44587",18,51,1,1,2,1,2,4152.2158
"44588",9,50,1,1,5,1,2,3022.0195
"44589",9,44,1,2,5,1,1,3365.9911
"44590",9,18,1,2,2,1,1,3373.5658
"44591",18,44,1,2,5,1,2,5721.6619
"44592",18,46,1,1,5,1,2,5182.404
"44593",6,69,4,2,5,4,2,3605.8328
"44594",6,73,4,1,7,4,2,3594.2171
"44595",6,74,1,1,7,1,2,3754.9359
"44596",6,75,1,2,7,1,2,3152.6972
"44597",6,53,4,2,3,1,2,4059.0383
"44598",21,29,1,1,2,1,2,4206.0943
"44599",39,68,1,2,2,1,2,3250.5968
"44600",39,71,1,1,3,1,2,3671.6313
"44601",18,55,1,1,2,1,2,3885.4016
"44602",18,51,1,2,2,1,2,3693.9201
"44603",18,80,1,2,2,1,2,3272.0602
"44604",47,43,1,1,6,1,2,3860.198
"44605",47,37,1,2,6,1,2,2895.8453
"44606",6,57,1,2,3,1,2,4187.6337
"44607",6,67,1,1,3,1,2,3899.1886
"44608",13,72,1,1,2,1,2,5281.7003
"44609",13,67,1,2,1,1,2,4539.3027
"44610",40,70,1,2,5,1,2,1901.8182
"44611",40,77,1,1,2,1,2,1732.3035
"44612",34,57,1,1,4,1,2,3987.6619
"44613",34,57,1,2,5,1,2,3560.6505
"44614",34,27,1,2,5,1,2,4809.7077
"44615",34,23,1,1,3,1,2,5250.9067
"44616",34,21,1,2,3,1,2,5101.3579
"44617",48,42,1,2,3,1,2,4849.5192
"44618",48,49,1,1,2,1,2,6064.9368
"44619",48,18,1,1,2,1,2,5329.5013
"44620",10,68,1,2,4,1,2,737.2006
"44621",10,70,1,1,4,1,2,958.1135
"44622",32,57,1,2,2,2,2,1894.0574
"44623",48,77,1,1,6,1,2,4177.0175
"44624",48,76,1,2,3,1,2,3829.3283
"44625",45,77,1,2,4,1,2,2625.2646
"44626",45,75,1,1,4,1,2,2757.4613
"44627",50,74,1,1,2,1,2,408.605
"44628",50,74,1,2,2,1,2,370.4208
"44629",36,33,1,2,2,2,1,4291.867
"44630",28,20,1,2,2,1,1,2257.9885
"44631",28,49,1,2,1,1,1,1430.6961
"44632",28,56,4,1,1,1,1,1245.8506
"44633",22,73,1,2,2,1,2,1473.3185
"44634",22,85,1,1,2,1,2,1599.5752
"44635",22,71,1,2,2,1,2,1702.6743
"44636",22,48,1,1,2,1,2,1752.4298
"44637",17,65,1,2,3,1,2,4514.4609
"44638",37,68,1,1,6,1,2,4241.0495
"44639",37,67,1,2,5,1,2,3532.1877
"44640",12,69,1,1,3,1,2,5264.963
"44641",37,26,3,1,3,1,1,4593.5361
"44642",37,58,1,2,2,1,1,4077.7455
"44643",22,62,1,2,2,1,2,1330.4999
"44644",17,51,1,1,4,1,2,4427.5939
"44645",17,46,1,2,5,1,2,4684.3358
"44646",36,64,1,2,2,1,1,5646.4862
"44647",36,26,1,2,5,1,1,6635.765
"44648",36,85,4,2,6,1,1,5488.4528
"44649",28,74,1,1,1,2,2,1256.037
"44650",28,62,1,2,2,2,2,1262.8814
"44651",10,68,1,1,8,1,2,658.4179
"44652",1,70,1,1,3,1,2,2170.2283
"44653",1,67,1,2,2,1,2,2088.343
"44654",1,55,1,1,5,1,2,2518.7542
"44655",1,53,1,2,3,1,2,2231.2729
"44656",1,22,1,1,5,1,2,2330.475
"44657",1,21,1,1,3,1,2,2330.475
"44658",39,76,1,1,1,1,2,3306.8514
"44659",1,76,1,2,5,1,2,1939.6644
"44660",1,69,1,1,5,1,2,2285.8899
"44661",51,48,1,1,5,1,2,4370.4151
"44662",51,39,1,2,5,1,2,5259.2672
"44663",34,60,1,1,2,1,2,5635.5739
"44664",34,59,1,2,6,1,2,5483.2059
"44665",37,24,1,1,4,1,2,5098.5034
"44666",37,24,1,2,4,1,2,4760.9895
"44667",47,64,1,2,3,2,1,3995.9076
"44668",47,64,1,1,3,2,2,3742.1442
"44669",51,74,1,2,5,1,2,4369.9601
"44670",33,54,1,2,3,1,2,983.7685
"44671",33,58,1,1,2,1,2,977.6007
"44672",49,70,1,2,2,1,2,1633.053
"44673",49,37,1,1,2,1,2,1857.6102
"44674",49,37,1,2,6,1,2,1943.5337
"44675",27,50,1,1,5,1,2,3772.1651
"44676",27,75,1,1,4,1,2,4136.817
"44677",27,74,1,2,2,1,2,3531.2443
"44678",37,71,1,2,1,1,2,3045.4851
"44679",19,85,1,1,2,1,2,2471.3438
"44680",19,80,1,2,2,1,2,2335.8852
"44681",25,54,1,2,5,1,2,3005.5182
"44682",25,54,1,1,2,1,2,2743.2744
"44683",17,65,1,2,2,1,2,4558.9072
"44684",51,80,1,2,3,1,2,3965.067
"44685",6,67,1,1,4,1,2,4084.4929
"44686",37,24,1,2,5,1,1,4654.4134
"44687",55,47,1,1,4,3,2,9013.8597
"44688",55,51,1,2,4,3,2,3171.3197
"44689",13,47,1,2,4,1,2,5839.6349
"44690",13,54,1,1,2,1,2,6448.5544
"44691",13,20,1,1,3,1,2,5609.5508
"44692",13,19,1,1,3,1,2,5359.5342
"44693",29,52,1,2,2,2,2,3845.8367
"44694",28,75,1,2,4,1,2,1074.7399
"44695",28,57,1,2,4,1,2,1371.9121
"44696",22,69,1,1,1,2,2,1803.1571
"44697",22,76,1,2,4,2,2,1830.42
"44698",22,60,1,1,2,2,2,1868.2727
"44699",45,38,1,1,5,2,2,3923.4308
"44700",45,41,1,2,2,2,2,4479.8974
"44701",45,22,1,1,3,2,2,3464.3657
"44702",45,18,1,1,2,2,2,3358.0797
"44703",25,52,1,2,5,1,2,3109.2141
"44704",25,52,1,1,5,1,2,3730.6578
"44705",28,73,1,2,3,1,2,903.2575
"44706",28,21,1,1,3,1,2,2089.771
"44707",30,78,1,2,6,1,2,446.2253
"44708",30,80,1,1,6,1,2,450.9667
"44709",30,71,1,1,4,1,2,479.9616
"44710",30,46,1,1,2,1,2,575.0701
"44711",38,65,1,1,4,1,2,436.9509
"44712",38,69,1,2,4,1,2,429.597
"44713",39,62,1,2,4,1,2,4296.3307
"44714",1,29,1,2,5,2,2,4469.9392
"44715",42,69,1,1,5,1,2,4953.2252
"44716",42,66,1,2,2,1,2,4636.0019
"44717",17,66,1,1,2,1,2,4191.6781
"44718",33,75,1,2,6,1,2,922.2649
"44719",33,77,1,1,6,1,2,957.795
